City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,noumea,-22.2763,166.4572,18.99,61,66,3.84,NC,1695828766
162,dudinka,69.4058,86.1778,-1.32,79,22,3.97,RU,1695828918
163,mudon,16.2578,97.7164,24.55,95,100,1.17,MM,1695828919
164,hepo,23.4308,115.8299,25.39,92,17,0.42,CN,1695828919
165,lata,40.1629,-8.3327,28.05,45,97,3.94,PT,1695828919
166,labytnangi,66.6572,66.4183,2.31,94,100,4.31,RU,1695828919
167,debre tabor,11.85,38.0167,12.62,79,94,0.29,ET,1695828919
168,puerto aysen,-45.4,-72.7,5.49,100,100,1.52,CL,1695828919
169,sena madureira,-9.0656,-68.6569,40.36,26,0,1.64,BR,1695828920
170,malvan,16.0667,73.4667,26.45,84,57,2.84,IN,1695828920
171,gadzhiyevo,69.2551,33.3362,10.02,88,46,2.79,RU,1695828920
172,peniche,39.3558,-9.3811,25.6,77,76,3.45,PT,1695828920
173,souillac,-20.5167,57.5167,24.21,73,20,4.63,MU,1695828920
174,sao joao da barra,-21.6403,-41.0511,33.05,75,93,5.07,BR,1695828840
175,remire-montjoly,4.9167,-52.2667,34.02,49,75,2.57,GF,1695828920
176,qaqortoq,60.7167,-46.0333,1.68,98,100,3.4,GL,1695828920
177,borujen,31.9652,51.2873,18.72,20,13,1.42,IR,1695828921
178,tazacorte,28.629,-17.9293,26.54,84,20,4.63,ES,1695828921
179,le port,-20.9373,55.2919,24.0,90,33,1.63,RE,1695828921
180,avarua,-21.2078,-159.775,23.03,78,75,5.66,CK,1695828921
181,pisco,-13.7,-76.2167,20.01,82,100,2.06,PE,1695828921
182,robore,-18.3333,-59.75,23.05,78,100,6.17,BO,1695828921
183,ormond-by-the-sea,29.3491,-81.0665,28.94,89,40,0.0,US,1695828921
184,qamdo,31.1667,97.2333,5.11,68,30,0.49,CN,1695828922
185,susuman,62.7833,148.1667,-2.31,93,21,1.94,RU,1695828922
186,lisala,2.15,21.5167,25.22,80,88,1.37,CD,1695828922
187,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1695828922
188,ribeira brava,32.65,-17.0667,27.35,79,55,1.04,PT,1695828922
189,panjakent,39.4952,67.6093,18.84,29,100,0.75,TJ,1695828893
190,bu'aale,1.0833,42.5833,28.26,59,25,7.02,SO,1695828923
191,bage,-31.3314,-54.1069,13.88,67,75,5.66,BR,1695828923
192,meadow lakes,61.6247,-149.6011,3.4,91,0,0.0,US,1695828923
193,sarikei,2.1167,111.5167,25.61,91,14,0.6,MY,1695828923
194,mahibadhoo,3.7833,72.9667,26.55,84,100,7.66,MV,1695828923
195,madalena,41.2162,-8.3345,25.42,55,100,2.7,PT,1695828924
196,barabinsk,55.3571,78.357,8.74,95,81,1.83,RU,1695828924
197,port augusta,-32.5,137.7667,10.95,71,0,3.15,AU,1695828924
198,zeytinburnu,40.9944,28.9042,24.34,64,75,7.72,TR,1695828912
199,ujae,8.9322,165.7642,28.53,78,99,4.73,MH,1695828924
200,berdyansk,46.7503,36.7944,22.72,39,0,8.05,UA,1695828925
201,cacoal,-11.4386,-61.4472,39.99,24,62,2.39,BR,1695828925
202,la'ie,21.6477,-157.9253,24.98,81,40,2.68,US,1695828925
203,vila velha,-20.3297,-40.2925,32.19,66,0,5.14,BR,1695828925
204,la pineda,41.0762,1.1852,26.43,72,20,4.12,ES,1695828925
205,mahina,-17.5065,-149.489,22.87,83,20,1.54,PF,1695828926
206,laguna,38.421,-121.4238,19.45,85,0,2.06,US,1695828677
207,bahia honda,22.9036,-83.1592,28.25,80,91,3.67,CU,1695828926
208,ilulissat,69.2167,-51.1,2.01,48,75,5.66,GL,1695828926
209,riohacha,11.5444,-72.9072,33.06,55,20,5.14,CO,1695828683
210,san antonio de pale,-1.4014,5.6325,24.68,84,40,5.82,GQ,1695828926
211,turgutlu,38.4953,27.6997,29.86,72,28,3.3,TR,1695828927
212,coari,-4.085,-63.1414,39.62,27,0,0.79,BR,1695828927
213,nerchinsk,51.9833,116.5833,6.51,83,46,1.25,RU,1695828927
214,genhe,50.7833,121.5167,7.3,88,100,3.53,CN,1695828927
215,port-vila,-17.7338,168.3219,19.78,83,75,1.03,VU,1695828927
216,gaalkacyo,6.7697,47.4308,33.9,33,42,3.94,SO,1695828927
217,gubkin,51.2817,37.5458,18.64,50,3,2.71,RU,1695828928
218,port alfred,-33.5906,26.891,15.66,81,96,2.68,ZA,1695828928
219,holualoa,19.6228,-155.9522,20.99,76,0,3.13,US,1695828928
220,shagonar,51.5333,92.8,6.46,56,14,1.12,RU,1695828928
221,hithadhoo,-0.6,73.0833,28.0,74,100,2.25,MV,1695828928
222,katsuura,35.1333,140.3,24.54,90,14,0.57,JP,1695828929
223,rivera,-30.9053,-55.5508,15.68,62,42,6.95,UY,1695828709
224,weiser,44.251,-116.9693,9.11,42,100,1.62,US,1695828802
225,badger,64.8,-147.5333,0.93,91,100,0.0,US,1695828929
226,kirensk,57.7853,108.1119,6.96,75,100,0.65,RU,1695828929
227,blankenberge,51.3131,3.1323,22.99,58,100,1.34,BE,1695828929
228,fort bragg,35.139,-79.006,19.75,78,100,4.12,US,1695828929
229,st austell,50.3383,-4.7658,17.79,77,40,12.86,GB,1695828930
230,gorontalo,0.5412,123.0595,23.07,87,97,1.73,ID,1695828930
231,namibe,-15.1961,12.1522,20.04,82,48,3.74,AO,1695828930
232,kargasok,59.0556,80.8572,7.12,89,100,1.9,RU,1695828930
233,port antonio,18.18,-76.4612,33.95,69,100,1.37,JM,1695828930
234,ar rutbah,33.0381,40.2848,31.35,14,0,2.12,IQ,1695828931
235,ketchikan,55.3422,-131.6461,12.26,94,100,4.63,US,1695828931
236,san patricio,28.017,-97.5169,30.66,53,17,1.97,US,1695828931
237,okhotsk,59.3833,143.3,5.32,74,89,1.7,RU,1695828931
238,valparaiso,-33.0393,-71.6273,19.13,58,0,6.69,CL,1695828931
239,codrington,-38.2667,141.9667,7.68,96,6,3.56,AU,1695828931
240,levuka,50.1834,-105.4011,13.85,82,40,4.12,CA,1695828931
241,tralee,52.2704,-9.7026,16.14,88,75,16.46,IE,1695828932
242,fundao,-19.9341,-40.4047,31.96,28,83,3.97,BR,1695828932
243,asasa,7.1,39.2,14.3,84,76,1.54,ET,1695828932
244,sokcho,38.2083,128.5911,19.34,94,59,1.54,KR,1695828932
245,arrecife,28.963,-13.5477,27.99,54,20,9.77,ES,1695828838
246,manismata,-2.4667,111.0333,24.84,84,54,1.44,ID,1695828932
247,igarka,67.4667,86.5833,-1.18,78,16,3.03,RU,1695828665
248,roma,43.2128,-75.4557,19.27,65,91,0.89,US,1695828933
249,iskateley,67.6803,53.1512,6.39,89,100,6.85,RU,1695828933
250,bucak,37.4592,30.595,19.29,42,78,2.16,TR,1695828933
251,sima,53.9202,102.0442,7.76,86,100,2.05,RU,1695828933
252,sinabang,2.4803,96.3801,26.11,80,100,2.45,ID,1695828933
253,chitungwiza,-18.0127,31.0756,26.36,39,99,2.62,ZW,1695828933
254,beyneu,45.3167,55.2,22.33,42,9,2.13,KZ,1695828934
255,westport,41.1415,-73.3579,18.38,65,0,6.69,US,1695828866
256,kristiansund,63.1115,7.732,15.36,67,40,4.63,NO,1695828934
257,trevelin,-43.0858,-71.4639,7.71,73,99,4.2,AR,1695828934
258,aasiaat,68.7098,-52.8699,0.12,66,86,2.66,GL,1695828934
259,leninskoye,41.7589,69.3864,19.33,28,55,3.1,KZ,1695828934
260,soio,-6.1349,12.3689,24.99,79,51,4.55,AO,1695828934
261,kone,-21.0595,164.8658,16.17,80,3,2.0,NC,1695828935
262,susangerd,31.5608,48.1831,36.26,15,0,3.95,IR,1695828935
263,fort st. john,56.2499,-120.8529,9.94,66,75,4.63,CA,1695828935
264,khandyga,62.6667,135.6,5.92,80,100,2.16,RU,1695828935
265,selfoss,63.9331,-20.9971,10.58,85,100,3.34,IS,1695828935
266,zouerate,22.7187,-12.4521,37.6,12,100,7.12,MR,1695828935
267,nova vicosa,-17.8919,-39.3719,30.87,53,50,7.6,BR,1695828936
268,antofagasta,-23.65,-70.4,15.6,66,38,4.92,CL,1695828936
269,grootfontein,-19.5667,18.1167,26.84,10,0,2.87,,1695828936
270,midvagur,62.0511,-7.1939,11.46,87,20,4.63,FO,1695828936
271,newman,37.3138,-121.0208,17.35,74,1,1.98,US,1695828936
272,lusambo,-4.9667,23.45,24.38,83,100,0.79,CD,1695828936
273,uttar char fasson,22.2332,90.7132,28.81,81,99,3.85,BD,1695828936
274,forster,-32.1667,152.5167,17.83,84,99,1.72,AU,1695828937
275,agat village,13.3886,144.6585,26.52,89,40,1.54,GU,1695828937
276,bor,56.3567,44.0669,12.74,63,1,1.77,RU,1695828937
277,drahichyn,52.1874,25.1597,20.04,58,3,3.52,BY,1695828937
278,krosno odrzanskie,52.0549,15.0988,26.03,47,27,2.34,PL,1695828937
279,puerto ayora,-0.7393,-90.3518,26.98,91,99,4.92,EC,1695828702
280,naze,28.3667,129.4833,26.51,83,13,3.69,JP,1695828937
281,maxixe,-23.8597,35.3472,24.9,88,75,5.14,MZ,1695828937
282,nova sintra,14.8667,-24.7167,24.0,77,90,5.94,CV,1695828938
283,ghadamis,30.1337,9.5007,28.07,30,0,5.92,LY,1695828938
284,kailua-kona,19.6406,-155.9956,23.06,76,0,3.13,US,1695828938
285,manokwari,-0.8667,134.0833,25.59,84,88,1.38,ID,1695828938
286,reo,12.3167,-2.4667,36.75,34,8,1.84,BF,1695828938
287,ha'il,27.5219,41.6907,37.01,12,0,1.03,SA,1695828938
288,kiamba,5.9894,124.6242,25.79,81,100,1.6,PH,1695828939
289,kingston,17.997,-76.7936,33.53,67,20,3.09,JM,1695828846
290,malanje,-9.5402,16.341,28.95,40,53,1.17,AO,1695828939
291,oltiariq,40.3919,71.4742,21.86,21,94,2.89,UZ,1695828939
292,bukama,-9.2,25.85,30.54,42,73,2.22,CD,1695828939
293,kudahuvadhoo,2.6708,72.8944,27.3,79,100,3.92,MV,1695828939
294,keflavik,64.0049,-22.5624,12.24,82,75,8.23,IS,1695828939
295,pudozh,61.8099,36.5345,13.43,85,84,2.37,RU,1695828940
296,benguela,-12.5763,13.4055,23.58,79,35,3.56,AO,1695828940
297,chok chai,14.7284,102.1652,23.46,95,100,2.32,TH,1695828940
298,georgetown,5.4112,100.3354,27.79,84,20,2.24,MY,1695828940
299,yaren,-0.5472,166.916,28.77,74,44,4.08,NR,1695828940
300,broome,42.2506,-75.833,18.38,76,0,2.57,US,1695828940
301,port lavaca,28.615,-96.6261,30.73,82,0,1.54,US,1695828940
302,kasongo-lunda,-6.4667,16.8167,28.4,61,96,1.05,CD,1695828940
303,sultanah,24.4926,39.5857,42.25,5,20,4.12,SA,1695828941
304,east moriches,40.8051,-72.7609,18.36,72,0,5.66,US,1695828793
305,carloforte,39.145,8.3058,23.47,73,0,6.73,IT,1695828941
306,escarcega,18.6089,-90.7454,31.13,58,43,1.5,MX,1695828941
307,wenchang,30.904,118.4887,23.85,91,100,1.46,CN,1695828941
308,tazovsky,67.4667,78.7,0.54,90,100,4.2,RU,1695828941
309,st. john's,47.5649,-52.7093,11.2,77,100,4.63,CA,1695828942
310,hasaki,35.7333,140.8333,24.05,89,39,3.74,JP,1695828942
311,coquimbo,-29.9533,-71.3436,15.85,67,0,5.14,CL,1695828942
312,garh maharaja,30.8339,71.9053,31.27,24,0,3.45,PK,1695828942
313,ukiah,39.1502,-123.2078,15.06,81,0,0.0,US,1695828942
314,gurupi,-11.7292,-49.0686,39.13,24,31,1.38,BR,1695828942
315,masterton,-40.9597,175.6575,7.12,99,100,0.47,NZ,1695828670
316,renfrew,55.872,-4.3925,14.02,89,75,8.05,GB,1695828942
317,guerrero negro,27.9769,-114.0611,21.69,72,39,5.54,MX,1695828943
318,greenville,35.6127,-77.3663,19.51,89,100,4.12,US,1695828679
319,abomsa,9.9833,39.9833,25.99,43,9,1.06,ET,1695828943
320,pasuquin,18.3328,120.6177,26.97,89,75,1.03,PH,1695828943
321,vernal,40.4555,-109.5287,17.59,36,0,0.0,US,1695828943
322,caminauit,12.3314,121.0825,27.11,82,67,3.21,PH,1695828943
323,tashtyp,52.7939,89.8983,3.09,80,6,1.23,RU,1695828943
324,laascaanood,8.4774,47.3597,31.6,34,41,6.4,SO,1695828943
325,xilin hot,43.9667,116.0333,7.13,49,3,2.35,CN,1695828944
326,touros,-5.1989,-35.4608,29.09,55,71,6.23,BR,1695828944
327,anori,-3.7728,-61.6442,41.82,18,3,2.25,BR,1695828944
328,hadibu,12.65,54.0333,27.01,79,92,4.62,YE,1695828944
329,la passe,45.5549,-0.8967,28.13,81,100,5.9,FR,1695828944
330,taltal,-25.4,-70.4833,17.52,67,5,3.47,CL,1695828712
331,basco,20.4487,121.9702,29.02,75,10,6.15,PH,1695828944
332,grand-bassam,5.2118,-3.7388,28.98,75,64,3.79,CI,1695828945
333,novyy urgal,51.0736,132.5642,8.44,95,78,1.11,RU,1695828945
334,padang,-0.9492,100.3543,25.03,90,52,2.11,ID,1695828945
335,port lincoln,-34.7333,135.8667,12.6,80,0,3.36,AU,1695828945
336,bondo,3.8146,23.6866,25.32,79,93,1.54,CD,1695828945
337,alta,69.9689,23.2717,10.59,85,40,2.06,NO,1695828945
338,mont-laurier,46.5501,-75.4993,11.79,38,45,1.63,CA,1695828945
339,kill devil hills,36.0307,-75.676,22.0,82,100,9.26,US,1695828946
340,slupsk,54.4641,17.0287,21.34,78,14,2.39,PL,1695828946
341,airuk,7.2772,168.8203,28.62,73,94,3.73,MH,1695828946
342,enewetak,11.3474,162.3373,28.66,77,99,5.9,MH,1695828946
343,waingapu,-9.6567,120.2641,24.66,83,75,3.24,ID,1695828946
344,zaozersk,69.4005,32.4476,9.5,89,67,1.68,RU,1695828946
345,tarakan,3.3,117.6333,27.47,74,17,1.35,ID,1695828947
346,tyukhtet,56.5389,89.3011,5.22,79,10,2.31,RU,1695828947
347,maua,-23.6678,-46.4614,34.44,25,7,5.8,BR,1695828947
